id,act,cost
RCB|DC|F|FZ|FZ51|FZ51Z,941,422
RCB|DC|F|FZ|FZ52,,
RCB|DC|F|FZ|FZ52|FZ52Z,1026,494
RCB|DC|F|FZ|FZ53,,
RCB|DC|F|FZ|FZ53|FZ53Z,919,447
RCB|DC|F|FZ|FZ54,,
RCB|DC|F|FZ|FZ54|FZ54Z,738,258
RCB|DC|F|FZ|FZ55,,
RCB|DC|F|FZ|FZ55|FZ55Z,332,132
RCB|DC|F|FZ|FZ56,,
RCB|DC|F|FZ|FZ56|FZ56Z,156,68
RCB|DC|F|FZ|FZ57,,
RCB|DC|F|FZ|FZ57|FZ57Z,8,1
RCB|DC|F|FZ|FZ58,,
RCB|DC|F|FZ|FZ58|FZ58A,17,12
RCB|DC|F|FZ|FZ59,,
RCB|DC|F|FZ|FZ59|FZ59Z,53,13
RCB|DC|F|FZ|FZ60,,
RCB|DC|F|FZ|FZ60|FZ60Z,1143,415
RCB|DC|F|FZ|FZ61,,
RCB|DC|F|FZ|FZ61|FZ61Z,3320,1267
RCB|DC|F|FZ|FZ62,,
RCB|DC|F|FZ|FZ62|FZ62A,27,24
RCB|DC|F|FZ|FZ63,,
RCB|DC|F|FZ|FZ63|FZ63Z,14,7
RCB|DC|F|FZ|FZ64,,
RCB|DC|F|FZ|FZ64|FZ64A,345,178
RCB|DC|F|FZ|FZ65,,
RCB|DC|F|FZ|FZ65|FZ65Z,100,54
RCB|DC|F|FZ|FZ67,,
RCB|DC|F|FZ|FZ67|FZ67B,2,6
RCB|DC|F|FZ|FZ70,,
RCB|DC|F|FZ|FZ70|FZ70Z,134,61
RCB|DC|F|FZ|FZ71,,
RCB|DC|F|FZ|FZ71|FZ71C,8,6
RCB|DC|F|FZ|FZ83,,
RCB|DC|F|FZ|FZ83|FZ83B,1,3
RCB|DC|F|FZ|FZ87,,
RCB|DC|F|FZ|FZ87|FZ87B,1,3
RCB|DC|F|FZ|FZ87|FZ87C,7,12
RCB|DC|F|FZ|FZ88,,
RCB|DC|F|FZ|FZ88|FZ88A,3,3
RCB|DC|G,,
RCB|DC|G|GA,,
RCB|DC|G|GA|GA06,,
RCB|DC|G|GA|GA06|GA06B,1,3
RCB|DC|G|GA|GA10,,
RCB|DC|G|GA|GA10|GA10C,1,3
RCB|DC|G|GA|GA10|GA10E,75,132
RCB|DC|G|GA|GA10|GA10F,14,31
RCB|DC|G|GB,,
RCB|DC|G|GB|GB01,,
RCB|DC|G|GB|GB01|GB01B,1,2
RCB|DC|G|GB|GB03,,
RCB|DC|G|GB|GB03|GB03A,19,13
RCB|DC|G|GB|GB03|GB03B,2,1
RCB|DC|G|GB|GB04,,
RCB|DC|G|GB|GB04|GB04D,3,2
RCB|DC|G|GB|GB05,,
RCB|DC|G|GB|GB05|GB05E,4,4
RCB|DC|G|GB|GB06,,
RCB|DC|G|GB|GB06|GB06D,25,22
RCB|DC|G|GB|GB07,,
RCB|DC|G|GB|GB07|GB07Z,12,9
RCB|DC|G|GB|GB09,,
RCB|DC|G|GB|GB09|GB09C,4,8
RCB|DC|G|GC,,
RCB|DC|G|GC|GC12,,
RCB|DC|G|GC|GC12|GC12B,18,7
RCB|DC|G|GC|GC15,,
RCB|DC|G|GC|GC15|GC15B,1,3
RCB|DC|G|GC|GC15|GC15D,2,2
RCB|DC|G|GC|GC16,,
RCB|DC|G|GC|GC16|GC16D,3,1
RCB|DC|H,,
RCB|DC|H|HA,,
RCB|DC|H|HA|HA21,,
RCB|DC|H|HA|HA21|HA21C,5,29
RCB|DC|H|HA|HA22,,
RCB|DC|H|HA|HA22|HA22B,4,23
RCB|DC|H|HA|HA22|HA22C,51,184
RCB|DC|H|HA|HA23,,
RCB|DC|H|HA|HA23|HA23C,38,114
RCB|DC|H|HA|HA31,,
RCB|DC|H|HA|HA31|HA31B,1,4
RCB|DC|H|HA|HA31|HA31C,8,25
RCB|DC|H|HA|HA32,,
RCB|DC|H|HA|HA32|HA32Z,2,6
RCB|DC|H|HA|HA33,,
RCB|DC|H|HA|HA33|HA33Z,3,6
RCB|DC|H|HA|HA35,,
RCB|DC|H|HA|HA35|HA35Z,2,4
RCB|DC|H|HA|HA39,,
RCB|DC|H|HA|HA39|HA39Z,1,1
RCB|DC|H|HA|HA51,,
RCB|DC|H|HA|HA51|HA51Z,3,13
RCB|DC|H|HA|HA53,,
RCB|DC|H|HA|HA53|HA53Z,12,35
RCB|DC|H|HA|HA54,,
RCB|DC|H|HA|HA54|HA54Z,7,9
RCB|DC|H|HA|HA55,,
RCB|DC|H|HA|HA55|HA55Z,2,3
RCB|DC|H|HA|HA56,,
RCB|DC|H|HA|HA56|HA56A,4,4
RCB|DC|H|HA|HA61,,
RCB|DC|H|HA|HA61|HA61B,1,4
RCB|DC|H|HA|HA61|HA61C,5,17
RCB|DC|H|HA|HA62,,
RCB|DC|H|HA|HA62|HA62Z,1,3
RCB|DC|H|HA|HA63,,
RCB|DC|H|HA|HA63|HA63Z,6,11
RCB|DC|H|HA|HA69,,
RCB|DC|H|HA|HA69|HA69Z,1,1
RCB|DC|H|HA|HA71,,
RCB|DC|H|HA|HA71|HA71B,2,9
RCB|DC|H|HA|HA71|HA71C,4,12
RCB|DC|H|HA|HA72,,
RCB|DC|H|HA|HA72|HA72Z,3,7
RCB|DC|H|HA|HA73,,
RCB|DC|H|HA|HA73|HA73B,2,2
RCB|DC|H|HA|HA73|HA73C,1,1
RCB|DC|H|HA|HA81,,
RCB|DC|H|HA|HA81|HA81C,1,1
RCB|DC|H|HA|HA91,,
RCB|DC|H|HA|HA91|HA91Z,1,1
RCB|DC|H|HA|HA94,,
RCB|DC|H|HA|HA94|HA94Z,1,1
RCB|DC|H|HB,,
RCB|DC|H|HB|HB14,,
RCB|DC|H|HB|HB14|HB14B,3,9
RCB|DC|H|HB|HB14|HB14C,8,15
RCB|DC|H|HB|HB15,,
RCB|DC|H|HB|HB15|HB15E,1,1
RCB|DC|H|HB|HB15|HB15G,1,1
RCB|DC|H|HB|HB16,,
RCB|DC|H|HB|HB16|HB16C,3,2
RCB|DC|H|HB|HB19,,
RCB|DC|H|HB|HB19|HB19Z,77,51
RCB|DC|H|HB|HB21,,
RCB|DC|H|HB|HB21|HB21B,1,6
RCB|DC|H|HB|HB21|HB21C,3,17
RCB|DC|H|HB|HB22,,
RCB|DC|H|HB|HB22|HB22B,15,50
RCB|DC|H|HB|HB22|HB22C,151,362
RCB|DC|H|HB|HB23,,
RCB|DC|H|HB|HB23|HB23B,12,28
RCB|DC|H|HB|HB23|HB23C,127,210
RCB|DC|H|HB|HB24,,
RCB|DC|H|HB|HB24|HB24B,2,3
RCB|DC|H|HB|HB24|HB24C,12,13
RCB|DC|H|HB|HB25,,
RCB|DC|H|HB|HB25|HB25F,8,7
RCB|DC|H|HB|HB25|HB25J,2,2
RCB|DC|H|HB|HB29,,
RCB|DC|H|HB|HB29|HB29Z,73,26
RCB|DC|H|HB|HB31,,
RCB|DC|H|HB|HB31|HB31Z,36,113
RCB|DC|H|HB|HB32,,
RCB|DC|H|HB|HB32|HB32A,12,35
RCB|DC|H|HB|HB32|HB32B,3,8
RCB|DC|H|HB|HB33,,
RCB|DC|H|HB|HB33|HB33D,4,10
RCB|DC|H|HB|HB33|HB33E,25,41
RCB|DC|H|HB|HB33|HB33G,6,9
RCB|DC|H|HB|HB34,,
RCB|DC|H|HB|HB34|HB34D,9,17
RCB|DC|H|HB|HB34|HB34E,55,65
RCB|DC|H|HB|HB34|HB34G,9,10
RCB|DC|H|HB|HB35,,
RCB|DC|H|HB|HB35|HB35B,5,6
RCB|DC|H|HB|HB35|HB35C,20,15
RCB|DC|H|HB|HB39,,
RCB|DC|H|HB|HB39|HB39Z,119,81
RCB|DC|H|HB|HB51,,
RCB|DC|H|HB|HB51|HB51Z,34,38
RCB|DC|H|HB|HB52,,
RCB|DC|H|HB|HB52|HB52B,1,4
RCB|DC|H|HB|HB53,,
RCB|DC|H|HB|HB53|HB53Z,13,12
RCB|DC|H|HB|HB54,,
RCB|DC|H|HB|HB54|HB54B,12,11
RCB|DC|H|HB|HB54|HB54C,35,34
RCB|DC|H|HB|HB55,,
RCB|DC|H|HB|HB55|HB55B,25,2
RCB|DC|H|HB|HB55|HB55C,229,40
RCB|DC|H|HB|HB56,,
RCB|DC|H|HB|HB56|HB56C,14,10
RCB|DC|H|HB|HB59,,
RCB|DC|H|HB|HB59|HB59Z,194,110
RCB|DC|H|HB|HB61,,
RCB|DC|H|HB|HB61|HB61B,12,66
RCB|DC|H|HB|HB61|HB61C,46,168
RCB|DC|H|HB|HB62,,
RCB|DC|H|HB|HB62|HB62B,5,16
RCB|DC|H|HB|HB62|HB62C,44,106
RCB|DC|H|HB|HB63,,
RCB|DC|H|HB|HB63|HB63Z,10,10
RCB|DC|H|HB|HB69,,
RCB|DC|H|HB|HB69|HB69Z,112,32
RCB|DC|H|HB|HB71,,
RCB|DC|H|HB|HB71|HB71C,5,14
RCB|DC|H|HB|HB72,,
RCB|DC|H|HB|HB72|HB72Z,24,58
RCB|DC|H|HB|HB73,,
RCB|DC|H|HB|HB73|HB73Z,12,10
RCB|DC|H|HB|HB79,,
RCB|DC|H|HB|HB79|HB79Z,25,7
RCB|DC|H|HB|HB99,,
RCB|DC|H|HB|HB99|HB99Z,18,5
RCB|DC|H|HC,,
RCB|DC|H|HC|HC05,,
RCB|DC|H|HC|HC05|HC05B,2,10
RCB|DC|H|HC|HC05|HC05C,6,14
RCB|DC|H|HC|HC06,,
RCB|DC|H|HC|HC06|HC06Z,5,4
RCB|DC|H|HC|HC12,,
RCB|DC|H|HC|HC12|HC12Z,27,16
RCB|DC|H|HC|HC20,,
RCB|DC|H|HC|HC20|HC20B,1,2
RCB|DC|H|HC|HC26,,
RCB|DC|H|HC|HC26|HC26C,3,2
RCB|DC|H|HC|HC27,,
RCB|DC|H|HC|HC27|HC27B,14,13
RCB|DC|H|HC|HC27|HC27C,66,46
RCB|DC|H|HC|HC28,,
RCB|DC|H|HC|HC28|HC28C,1,2
RCB|DC|H|HC|HC29,,
RCB|DC|H|HC|HC29|HC29Z,10,4
RCB|DC|H|HC|HC32,,
RCB|DC|H|HC|HC32|HC32B,3,2
RCB|DC|H|HC|HC32|HC32C,8,4
RCB|DC|H|HD,,
RCB|DC|H|HD|HD21,,
RCB|DC|H|HD|HD21|HD21A,3,1
RCB|DC|H|HD|HD21|HD21B,22,10
RCB|DC|H|HD|HD21|HD21C,18,7
RCB|DC|H|HD|HD23,,
RCB|DC|H|HD|HD23|HD23A,26,38
RCB|DC|H|HD|HD23|HD23B,282,144
RCB|DC|H|HD|HD23|HD23C,345,155
RCB|DC|H|HD|HD24,,
RCB|DC|H|HD|HD24|HD24A,13,10
RCB|DC|H|HD|HD24|HD24B,193,65
RCB|DC|H|HD|HD24|HD24C,135,46
RCB|DC|H|HD|HD25,,
RCB|DC|H|HD|HD25|HD25A,1,2
RCB|DC|H|HD|HD25|HD25B,28,19
RCB|DC|H|HD|HD26,,
RCB|DC|H|HD|HD26|HD26B,10,12
RCB|DC|H|HD|HD26|HD26C,9,3
RCB|DC|H|HD|HD39,,
RCB|DC|H|HD|HD39|HD39A,1,2
RCB|DC|H|HD|HD39|HD39B,9,3
RCB|DC|H|HD|HD39|HD39C,2,1
RCB|DC|H|HD|HD40,,
RCB|DC|H|HD|HD40|HD40A,3,4
